tconst;title;originalTitle;startYear;genres;actors;directors;poster_id;overview;origin_group;runtimeMinutes
tt0032702;Die letzte Runde;Die letzte Runde;1940;Drama;Andrews Engelmann,Attila Hörbiger,Camilla Horn;Werner Klingler;/aXc3kSqXHpMn4mnKXpG8MdS6e9m.jpg;A New York, le boxeur Eddie Steele a une belle carrière devant lui. Mais cela le rend imprudent, et il aime plus les boîtes de nuit que l'entraînement. Son mode de vie exigeant finit par entraîner sa perte.;européen;86
tt0032775;Mein Mann darf es nicht wissen;Mein Mann darf es nicht wissen;1940;Comedy;Annemarie Holtz,Elvira Erdmann,Fritz Odemar;Paul Heidemann;/58zex1abeEDlJFqf95rkVXq4pUP.jpg;;européen;85
tt0032905;Piccolo alpino;Piccolo alpino;1940;Drama;Amedeo Trilli,Annibale Betrone,Cesco Baseggio;Oreste Biancoli;/dEAKWqhZwSETi1tGjd5HwSDp2lf.jpg;Après avoir perdu ses parents dans les montagnes lors d'une terrible tempête, le petit Giacomino Rasi rejoint un régiment alpin et partage ses adversités et dangers dans les combats de la Première Guerre mondiale.;européen;96
tt0033017;San Giovanni decollato;San Giovanni decollato;1940;Comedy;Augusto Di Giovanni,Bella Starace Sainati,Eduardo Passarelli;Amleto Palermi;/7mVKodi2a0AlaxFIXACfe9jgHEc.jpg;Maître Antonio Miciaccio, gardien et cordonnier, est dévoué à Saint Jean Décapité et cherche à découvrir qui a volé l'huile qui maintient allumée la bougie du saint. Il n'approuve pas non plus le petit ami de sa fille et il ne veut pas qu'il l'épouse.;européen;89
tt0033042;60 Days;Shestdesyat dney;1943;Comedy;A. Yanikovsky,Boris Zhukovsky,Grigoriy Lyubimov;Mikhail Shapiro;/o69wYoGNh4sojYqLfvZoiRjNzJ3.jpg;Aventures du professeur de médecine en service de réserve.;européen;75
tt0033125;Love Is Not a Shame;A szerelem nem szégyen;1940;Comedy,Romance;Béla Mihályffi,Gerö Mály,Gyula Gózon;Ákos Ráthonyi;;;européen;87
tt0033206;Unfaithful Eckehart;Der ungetreue Eckehart;1940;Comedy;Else Elster,Ethel Reschke,Hans Moser;Hubert Marischka;;Une valise échangée et un cambriolage avec une actrice donnent l'occasion de mettre une famille avec des belles-filles et des épouses en désordre. Vieille comédie d'erreurs selon le modèle.;européen;88
tt0033207;Unser Fräulein Doktor;Unser Fräulein Doktor;1940;Comedy;Albert Matterstock,Gustav Waldau,Hans Richter;Erich Engel;/9hS9bmBMhDKiK3cXIaz9VOqq1Ue.jpg;Dans une école exclusivement masculine où l'on considère que les femmes sont inférieures, une remplaçante remplace un professeur de mathématiques et de chimie accidenté. Parviendra-t-elle à faire changer d'avis quant à l'égalité des sexes ?;européen;94
tt0033218;Vi Masthuggspojkar;Vi Masthuggspojkar;1940;Comedy,Drama;Benkt-Åke Benktsson,Bror Bügler,Emy Hagman;Nils Jerring;/zUW3N1YHojHEtnhWHAVYqJVQGdA.jpg;Karl et Ada sont fiancés, Gustaf est marin et amoureux d'Elsa. Pour elle, il est prêt à rester à terre.;européen;76
tt0033277;Yakov Sverdlov;Yakov Sverdlov;1940;Drama;Andro Kobaladze,Georgiy Millyar,Irina Fedotova;Mariya Itina, Sergei Yutkevich;/y35f1dZE4ywGcIP9iXhwB4RGar2.jpg;;européen;124
tt0033335;L'amante segreta;L'amante segreta;1941;Drama;Ada Dondini,Alida Valli,Anita Farra;Carmine Gallone;/kcRnw4fXxwMROO31rJ0W1kzMXYH.jpg;Après que son tuteur ait détourné et dilapidé son héritage, une jeune femme est obligée d'effectuer divers travaux.;européen;101
tt0033338;L'amore canta;L'amore canta;1941;Comedy;Alfredo Menichelli,Alfredo Varelli,Amina Pirani Maggi;Ferdinando Maria Poggioli;;Film italien réalisé par Ferdinando Maria Poggioli.;européen;82
tt0033384;Beredskapspojkar;Beredskapspojkar;1940;Comedy;Arne Lindblad,Carl Reinholdz,Emy Hagman;Sigurd Wallén;/rVDECsAVQcTcYO6bF6D3NOwzm66.jpg;"Deux acteurs de cinéma sont enrôlés ; dans les régiments, des espions tentent de mettre la main sur des documents secrets.";européen;93
tt0033506;Lady with the Light Gloves;Damen med de lyse handsker;1942;Drama;Grete Gravesen,Hans Otto Nielsen,Hans-Henrik Krause;Benjamin Christensen;/7FeKpaClQfCWgphuw0gXY5yIhCr.jpg;Pendant la Première Guerre mondiale, l'ingénieur Torben rentre chez lui avec des papiers secrets du tsar russe au courrier Tuschin, le meilleur ami de Torben. Cependant, Tuschin est retrouvé assassiné et pour résoudre le meurtre, Torben reste à son hôtel. Il...;européen;81
tt0033557;Dreimal Hochzeit;Dreimal Hochzeit;1941;Romance;Alfred Neugebauer,Erik Frey,Ernst Bader;Géza von Bolváry;/e3FUXfBA7M36OBl8k0ezsHm8aVv.jpg;;européen;95
tt0033562;Le due tigri;Le due tigri;1941;Action;Alanova,Amedeo Trilli,Arturo Bragaglia;Giorgio Simonelli;/9udd26GEeACNxZPhTYTxl8HGbLA.jpg;Darma, la fille de Tremal Naik, est kidnappée par des voyous et enfermée dans un temple dans la jungle. La secte religieuse veut qu'elle devienne la prêtresse de la déesse Kali. Sandokan la libérera, et Surama l'héritière légitime...;européen;85
tt0033564;Dunungen;Dunungen;1941;Drama;Adolf Jahr,Eric Gustafson,Gaby Stenberg;Weyler Hildebrand;/eHhreSsVDuoBPJ3v7pSkfsw1knt.jpg;La timide Anne-Marie veut épouser le fils du maire malgré l'opposition de ses parents.;européen;90
tt0033624;Den forsvundne pølsemaker;Den forsvundne pølsemaker;1941;Comedy;Ernst Diesen,Eva Lunde,Eva Steen;Toralf Sandø;/ya1U1M17v3wmXr6lOtcBoPSsVrk.jpg;Les enquêteurs privés Gløgg et Rask ont ​​été engagés pour retrouver un boucher (fabricant de saucisses) disparu. Cela conduit les deux hommes dans de nombreuses aventures.;européen;98
tt0033644;La gallina clueca;La gallina clueca;1941;Drama;Alfredo Varela,Carmen Molina,David Silva;Fernando de Fuentes;/4ELfOMd8Rpc1RhT2WAHuv2zQcT.jpg;Une mère divorcée a du mal à élever sa nombreuse famille.;européen;124
tt0033694;Hauptsache glücklich!;Hauptsache glücklich!;1941;Comedy,Romance;Arthur Schröder,Arthur Wiesner,Fritz Odemar;Theo Lingen;/dDXpMzB1DVLaEFYn0sZooeXukc5.jpg;;européen;92
tt0033721;Hochzeitsnacht;Hochzeitsnacht;1941;Comedy;Albert Janscheck,Georg Vogelsang,Geraldine Katt;Carl Boese;;Vroni défie son père : elle n'épousera pas le meunier Balduin mais son véritable amour Franz. Le père insiste, mais l'ami Kleefass l'aide et vole tous les actes de mariage de la ville, ce qui entraîne une soudaine anarchie et une nuit chaotique...;européen;79
tt0033743;Tonight or Never;I natt - eller aldrig;1941;Comedy;Barbro Kollberg,Eric Abrahamsson,Erik 'Bullen' Berglund;Gustaf Molander;/8i0CCK6V9WjPs23wWvVlJv3TS30.jpg;Film de comédie suédois;européen;85
tt0033812;Landstormens lilla argbigga;Landstormens lilla argbigga;1941;Comedy,Romance;Axel Högel,Erik 'Bullen' Berglund,George Fant;Nils Jerring;/5YH61NBsD6SW0N4A1IBrRF9iVnV.jpg;Une fille gâtée de la classe supérieure doit rejoindre une unité de défense intérieure pour apprendre l'exercice militaire et tomber amoureuse d'un lieutenant.;européen;90
tt0033831;Liebe ist zollfrei;Liebe ist zollfrei;1941;Comedy;Else Elster,Emmerich Hanus,Erich Frey;E.W. Emo;/2dwPE6d98nFJQXtivFbPeJ0luWn.jpg;"Le gouvernement autrichien est à nouveau en grande difficulté financière et a donc l'idée audacieuse de louer les droits de douane à un consortium bancaire suisse. Bien entendu, l’affaire doit rester top secrète le plus longtemps possible. Une fois tout réglé, l'ambassadeur de Suisse prend le train pour rentrer chez lui. Il doit cependant passer la douane à Feldkirch. L'ambitieux inspecteur des douanes Laurenz Hasenhüttl y exerce ses fonctions. Il aimerait seulement devenir inspecteur principal et c'est pourquoi il examine particulièrement minutieusement le train reliant Vienne à Zurich. Dans son excès de zèle, il prend l'envoyé de la banque suisse et l'amant du ministre des Finances, qui voyage avec lui, pour un couple d'escrocs recherchés. Le traité douanier qu'il a trouvé – totalement incompréhensible pour lui – a encore renforcé son point de vue.
Le couple d'escrocs présumé derrière les barreaux Hasenhüttl se rend à Vienne pour rencontrer son employeur, le ministre des Finances, en prévision d'éloges et d'une promotion particulière. Dès son arrivée, il a lu dans le journal que les deux escrocs qu'il recherchait avaient été arrêtés ailleurs. Hasenhüttl s'adresse immédiatement à la rédaction du journal pour corriger sa prétendue erreur. Cependant, le rédacteur en chef reconnaît l'authenticité du contrat douanier présenté comme preuve et, contre sa connaissance et sa volonté, fait de Hasenhüttl le révélateur d'un scandale politique majeur qui affecte non seulement le mariage du ministre des Finances, mais aussi l'ensemble du mariage autrichien.";européen;100
tt0033840;Den ljusnande framtid;Den ljusnande framtid;1941;Drama;Alf Kjellin,Eric Abrahamsson,Erik 'Bullen' Berglund;Gustaf Molander;/tLIpowwkaEVrkywUZa7tKA2pMNe.jpg;Birgit Norén est la nouvelle enseignante d'une école d'une petite ville et tombe amoureuse du directeur.;européen;92
tt0033889;Dream;Mechta;1943;Drama;Ada Voytsik,Arkadi Kislyakov,Faina Ranevskaya;Mikhail Romm;/aJrwbShoA7PAGhXN5VzBTBwxvfp.jpg;La misère spirituelle et matérielle d'un groupe de personnes habitant l'hôtel du titre pendant la guerre.;européen;100
tt0034009;Pedro soll hängen;Pedro soll hängen;1941;Comedy;Charlotte Witthauer,Erich Fiedler,Ernst Legal;Veit Harlan;;"Localisation : Un pays d'Amérique latine au nom imaginaire de Pellagonia, un endroit poussiéreux au milieu de nulle part où la loi et l'ordre sont écrits en petites lettres. Ici, le pendant latino du cliché du Far West américain fleurit, et les mœurs rudes prédominent parmi la simple population rurale. Dans les bodegas, on ne boit pas seulement, on boit jusqu'à ce que quelqu'un tombe sous la table ou même dans le coma, et les poings des « gros » présents, des niais compacts partout, distribuent des coups puissants. C’est l’environnement « intellectuel » de l’action. Pedro, berger et tyran bien connu, va un jour trop loin dans la capitale de San Fernando : lors d'une dispute, il tue avec un couteau le marchand de chevaux José, qui l'aurait trompé aux cartes... du moins c'est ce qu'on prétend. Quoi qu'il en soit, José restait allongé sur le sol, faisant le mort comme une souris. Personne ne le sait avec certitude, car tout s’est passé dans un état de brouillard mental général et lié à l’alcool. Apparemment, personne n'a encore remarqué que la personne prétendument morte continue de boire non loin de là. Toute cette affaire, dont dans des circonstances normales on ne dirait pas un seul mot dans cette ""Vallée des hors-la-loi"", est en train d'exploser à un point tel parce qu'un gringo américain nommé Amadeo de Montessandro, un journaliste, s'est présenté à San Fernando et utilise maintenant cet incident pour écrire un article cinglant sur le soi-disant ""barbare"".";européen;90
tt0034014;Pepe Conde;Pepe Conde;1941;Comedy;Ana de Siria,Antonio Casal,Francisco Hernández;José López Rubio;/6dWZHVpwCU7u8j45sL2WV4Dtncf.jpg;;européen;128
tt0034132;Rote Mühle;Rote Mühle;1940;Comedy;Edith Oß,Erich Fiedler,Erwin Biegel;Jürgen von Alten;/w0RJz4NwtnFpifd3gVyq1R27HdK.jpg;;européen;101
tt0034226;Springpojkar är vi allihopa;Springpojkar är vi allihopa;1941;Comedy;Arne Söderberg,Bert Sorbon,Esten Areschoug;Ivar Johansson;/qBzdRCsSAcrbktYPmhsjFlNXlWk.jpg;Gugge et Nuffe travaillent chez les grossistes en viande concurrents AB Delikatesser et AB Skånedelikatesser. Les deux sociétés se disputent une commande importante et ne reculent devant rien pour obtenir la commande.;européen;85
tt0034288;Thummelumsen;Thummelumsen;1941;Comedy,Romance;Axel Frische,Carl Viggo Meincke,Hans Kurt;Emanuel Gregers;/e5BpnAjbT36BcNVFQK3LqtyMAii.jpg;L'action se déroule dans la petite ville provinciale idyllique de Gammelkøbing. L'un des personnages les plus célèbres de la ville est le curieux Emanuel Thomsen.;européen;90
tt0034348;Uppåt igen;Uppåt igen;1941;Comedy;Birgit Rosengren,Elof Ahrle,Gunnar Almqvist;Gösta Cederlund;/nWE3DyuJ1fDneRl5EI8Hz4DmtuV.jpg;Loffe, au chômage, rencontre son vieil ami Wilhelm et reçoit de l'argent. Un an plus tard, il est temps pour Loffe d'aider Wilhelm.;européen;90
tt0034357;Broken Love;Vertigine;1942;Drama;Augusto Marcacci,Beniamino Gigli,Camilla Horn;Guido Brignone;/pwRLixGsJQJDGAZKX3EISsigBES.jpg;La fille aisée d'un ténor rompt une romance avec un jeune serviable à cause d'un malentendu. Mais elle continue de le couvrir de ses dettes de jeu malgré sa santé délicate.;européen;89
tt0034362;Violette nei capelli;Violette nei capelli;1942;Comedy,Drama;Ada Dondini,Aristide Baghetti,Carla Del Poggio;Carlo Ludovico Bragaglia;/5mZuPoiAh5lTfnWM9lwGXHHSCJr.jpg;Deux sœurs et leur ami s'entraident pour surmonter les difficultés alors qu'ils luttent pour réaliser leurs rêves.;européen;85
tt0034373;Was geschah in dieser Nacht?;Was geschah in dieser Nacht;1941;Comedy;Ellen Bang,Erna Sellmer,Hans Brausewetter;Theo Lingen;/A282Ozjpo63riL8ZjfpzXIZF09U.jpg;Comme Marion se sent maltraitée par son petit ami, son amie Julia le confronte chez lui et apprend qu'elle gronde le mauvais gars : deux cousins ​​nommés Johannes partagent l'appartement. Et ce Johannes est charmant...;européen;80
tt0034426;Acque di primavera;Acque di primavera;1942;Drama;Annibale Betrone,Armando Migliari,Carlo Lombardi;Nunzio Malasomma;/ceJDFV2oAvlqdNcpqLy0WI0Hrm8.jpg;;européen;85
tt0034444;Alfa Tau!;Alfa Tau!;1942;Drama;Giuseppe Addobbati,Liana Persi,Lilla Pilucolio;Francesco De Robertis;/dPGiMzOYNVTXLo41f1nlDUqTiqG.jpg;Mostra de Venise 1942;européen;90
tt0034607;Colpi di timone;Colpi di timone;1942;Comedy;Alberto Capozzi,Amelia Chellini,Amelia Fancelli;Gennaro Righelli;/4yNurxlGWqvcuvO731pkISEsavi.jpg;Un marin brutal à qui on a diagnostiqué par erreur une maladie incurable, déterminé à vivre ses derniers jours avec sincérité, se retrouvera incompris par son entourage.;européen;95
tt0034660;Don Cesare di Bazan;Don Cesare di Bazan;1942;Comedy;Anneliese Uhlig,Antonio Acqua,Carlo Duse;Riccardo Freda;/nuzju9Npc5Girv4nlZVFiOBCbjF.jpg;A Barcelone, en 1650, le comte Don Cesare di Bazan tente de déjouer, avec l'aide d'une actrice, un complot ourdi contre le roi par l'ambassadeur de France.;français;78
tt0034724;Farliga vägar;Farliga vägar;1942;Drama;Anders Henrikson,Ernst Eklund,Frank Sundström;Anders Henrikson;/uBdkT4XAvo6bajyajwocgNqGhZn.jpg;Un avocat apatride arrive avec son fils Karel et ses deux filles Vanja et Sonja comme réfugiés à Stockholm. Personne n'obtient de permis de travail en Suède et les problèmes de la famille ne se limitent pas à des problèmes financiers. L’oisiveté et le désespoir face à l’avenir sont presque pires et peuvent conduire à des voies dangereuses.;européen;86
tt0034725;Den farlige leken;Den farlige leken;1942;Comedy;Else Heiberg,Eva Lunde,Finn Bernhoft;Tancred Ibsen;;L'architecte connu Jean Blomis est marié et père de deux enfants, vivant dans un condo moderne, bien que très extraverti, sa femme ne l'est pas. Après avoir découvert la nouvelle hormone du scientifique Holm, il espère en nourrir sa femme pour lui redonner du peps.;européen;97
tt0034729;La feria de las flores;La feria de las flores;1943;Drama;Antonio Badú,Estela Inda,Fernando Fernández;José Benavides hijo;/5OSjJnZ3BCCsyoXzxdFutHnzkxZ.jpg;Mélodrame/romance Ranchera.;européen;101
tt0034738;Flickan i fönstret mitt emot;Flickan i fönstret mitt emot;1942;Comedy;Dagmar Ebbesen,Einar Axelsson,Elof Ahrle;Nils Jerring;/siooFXuqtxBEKSaI7snOUwoMzpT.jpg;Le film de 1942.;européen;79
tt0034774;Jealousy;Gelosia;1942;Drama;Angelo Dessy,Anna Arena,Bella Starace Sainati;Ferdinando Maria Poggioli;;Un film basé sur le livre Il marchese di Roccaverdina de Luigi Capuana sur un marquis amoureux de sa servante Agrippine mais qui ne peut l'épouser en raison de son statut.  Le marquis ordonne à son sujet de confiance de l'épouser à sa place tant qu'il jure de ne pas avoir de relations sexuelles avec elle.;européen;86
tt0034789;Giarabub;Giarabub;1942;Drama;Annibale Betrone,Carlo Ninchi,Carlo Romano;Goffredo Alessandrini;/wdntjibycsQmQ8IvhZPBZbwV47w.jpg;Les troupes italiennes de Giarabub se défendent contre les Britanniques.;européen;85
tt0034793;Giorno di nozze;Giorno di nozze;1942;Comedy;Amelia Chellini,Anna Proclemer,Antonio Gandusio;Raffaello Matarazzo;/4O49vPJXEZP1cg87z9nIfD2uqCO.jpg;Une fille découvre que ses parents sont loin d'être les riches bourgeois qu'elle pensait être.;européen;85
tt0034809;Grattacieli;Grattacieli;1943;Drama;Elena Maltzeff,Enzo Gainotti,Ernesto Sabbatini;Guglielmo Giannini;/a84jX6BmpzEXAR9zGW3yiLW75Tp.jpg;;européen;86
tt0034821;Yellow Ward;Gula kliniken;1942;Drama;Arnold Sjöstrand,Barbro Kollberg,Barbro Ribbing;Ivar Johansson;/awTyufgQ6CMHLPLO0CDEMMFtF1I.jpg;Le médecin-chef d'une clinique pour femmes est contre l'avortement. Il incite fortement les patientes à ne pas avorter. Mais il y a des médecins qui pensent différemment.;européen;114
tt0034859;Der Hochtourist;Der Hochtourist;1942;Comedy;Alice Treff,Charlott Daudert,Joe Stöckel;Adolf Schlyssleder;;En vacances en solo, Franz aime le vin et les femmes, même si dans ses lettres à la maison, il se vante de ses prétendus exploits en alpinisme. Lors d'un nouveau voyage, sa femme insiste pour être témoin de ses talents d'escalade, il se retrouve empêtré dans sa propre toile d'araignée.;européen;79
tt0034864;El hombre que se quiso matar;El hombre que se quiso matar;1942;Comedy;Alberto López,Alejandro Nolla,Antonio Casal;Rafael Gil;/fsnrdBaiCcqkRhV76lIBgGb2HAc.jpg;Le pusillanime architecte Federico Solá est un homme de trente ans à qui la vie semble déterminée à ne pas sourire : pas de travail, pas de petite amie, pas d'amis, décide un jour de se lever et de tenir tête à la vie. Et il ne pense à rien de mieux...;européen;80
tt0034910;Jacob's Ladder;Jacobs stege;1942;Drama;Birgit Tengroth,Carl Ström,Erik 'Bullen' Berglund;Gustaf Molander;;Mostra de Venise 1942;européen;104
tt0034933;Kan doktorn komma?;Kan doktorn komma?;1942;Drama;Aurore Palmgren,Bertil Ehrenmark,Birger Åsander;Rolf Husberg;/ggqx28EqK5EQkiSjuVUrxwC06gK.jpg;Un médecin rural du nord de la Suède doit voyager pendant des heures pour rendre visite à ses patients. Lorsqu'une jeune femme présente un cas grave d'appendicite, le médecin doit l'emmener dans un périple dangereux en aval pour atteindre la clinique. Intrigue de Mattias Thuresson.;européen;97
tt0034970;Legión de héroes;Legión de héroes;1942;Drama;Emilio Sandoval,Fernando Velasco,Javier Rodil;Armando Seville, Juan Fortuny;/yaKhQyTPXwM0jTAfpXmzGCjyLj3.jpg;Un officier meurt en essayant d'accomplir une mission risquée. Il se déplace conduit par une belle femme indigène, fille d'un haut chef musulman.;européen;88
tt0035053;Meine Frau Teresa;Meine Frau Teresa;1942;Comedy;Elfie Mayerhofer,Fritz Böttger,Hans Hermann Schaufuß;Arthur Maria Rabenalt;;;européen;80
tt0035054;Meine Freundin Josefine;Meine Freundin Josefine;1942;Comedy;Else Reval,Fita Benkhoff,Gerda Maria Terno;Hans H. Zerlett;;;européen;74
tt0035116;Neljä naista;Neljä naista;1942;Drama;Eine Laine,Emma Väänänen,Helena Kara;Ilmari Unho;/utTODjWUJ2dZNwTT2Hu1oBiX0HN.jpg;;européen;91
tt0035158;Schoolgirl Diary;Ore 9: Lezione di chimica;1941;Drama;Ada Dondini,Alida Valli,Andrea Checchi;Mario Mattoli;/xzEYTAWasNPZa3tviUFuvZqrwgC.jpg;Les filles d'un collège soupçonnent l'une d'elles, Maria, d'avoir une liaison avec Marini, un beau professeur de chimie. Anna, une autre étudiante et mondaine snob, est sous le charme de Marini et trouve une rivale en Maria. Les choses sont tendues...;européen;95
tt0035168;I pagliacci;I pagliacci;1943;Drama;Achille Majeroni,Alida Valli,Angelo Ferrari;Giuseppe Fatigati;;Adaptation cinématographique du célèbre opéra de Leoncavalo. Une troupe d'acteurs ambulants est accueillie par les villageois de Calabre à l'été 1866.;européen;89
tt0035178;Pazzo d'amore;Pazzo d'amore;1942;Comedy;Angelo Dessy,Augusto Di Giovanni,Carlo Duse;Giacomo Gentilomo;;;européen;83
tt0035243;La razón de la culpa;La razón de la culpa;1943;Drama,Romance;Andrés Soler,Araceli Fernández,Blanca de Castejón;Juan José Ortega;/gxThXUWqXwtVYWqTjBG96Mtoyli.jpg;Comédie romantique.;européen;96
tt0035294;Schicksal;Schicksal;1942;Drama,Romance;Adalet Emine Pee,Christian Kayßler,Heinrich George;Géza von Bolváry;/z8BSevow7DV0NIiqOj2nOfVNWP8.jpg;Lorsque le commandant d'un château bulgare est tué au combat, son intendant élève ses deux enfants.;européen;92
tt0035326;Sieben Jahre Glück;Sieben Jahre Glück;1942;Comedy;Elli Parvo,Hannelore Schroth,Hans Moser;Ernst Marischka;/A9FLKJKQ3uKpxvR0SAjqf3Neiup.jpg;L'écrivain superstitieux Heinz Kersten envoie son serviteur Paul chez le vétérinaire Teisinger, dont il tombe amoureux de la fille.;européen;90
tt0035336;Simple-Minded;Simplet;1942;Comedy;Andrex,Charles Blavette,Colette Fleuriot;Fernandel;/2HoqmAEFh0u6ydEOH20KaFqugU5.jpg;Un simplet s'avère être le porte-bonheur d'un village.;français;88
tt0035340;En sjöman i frack;En sjöman i frack;1942;Comedy;Adolf Jahr,Carl Hagman,Einar Axelsson;Ragnar Arvedson;/s8FU9iF1HnYZEbZQEaAatX8agOd.jpg;Le second Karlsson est confondu avec le célèbre acteur Linde.;européen;89
